attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
res_site_id	TO_DO	int	TO_DO	TO_DO	false	Not Available
site_id	TO_DO	int	TO_DO	TO_DO	false	Not Available
site_code	TO_DO	varchar	TO_DO	TO_DO	false	Not Available
station	TO_DO	varchar	TO_DO	TO_DO	false	Not Available
variable	TO_DO	varchar	TO_DO	TO_DO	false	Not Available
year	TO_DO	numeric	TO_DO	TO_DO	false	Not Available
month	TO_DO	numeric	TO_DO	TO_DO	false	Not Available
aggregate_type	TO_DO	varchar	TO_DO	TO_DO	false	Not Available
value	TO_DO	varchar	TO_DO	TO_DO	true	Not Available
num_get	TO_DO	numeric	TO_DO	TO_DO	false	Not Available
num_e	TO_DO	numeric	TO_DO	TO_DO	false	Not Available
last_update	TO_DO	datetime	TO_DO	TO_DO	true	Not Available
